poly_time,kalshi_time,poly_yes,poly_no,kalshi_yes,kalshi_no,arb_size,poly_side,kalshi_side
1737582234,1737582269,0.09,0.91,0.07,0.9299999999999999,50,NO,YES
1737824127,1737823959,0.091,0.909,0.08,0.92,528,NO,YES
1737824127,1737823959,0.091,0.909,0.08,0.92,7,NO,YES
1737824127,1737823959,0.091,0.909,0.08,0.92,6,NO,YES
1737944379,1737944369,0.082,0.918,0.06,0.94,10,NO,YES
1737944379,1737944369,0.082,0.918,0.06,0.94,10,NO,YES
1737944379,1737944369,0.082,0.918,0.06,0.94,40,NO,YES
1739854331,1739854263,0.051,0.949,0.04,0.96,1,NO,YES
1740352198,1740352184,0.055,0.945,0.06,0.94,26,YES,NO
1740352198,1740352184,0.055,0.945,0.06,0.94,34,YES,NO
1740488397,1740488626,0.057,0.943,0.07,0.9299999999999999,110,YES,NO
1740492762,1740492919,0.061,0.9390000000000001,0.06,0.94,25,NO,YES
1740492762,1740492986,0.061,0.9390000000000001,0.07,0.9299999999999999,2,YES,NO
1740503728,1740503452,0.069,0.931,0.07,0.9299999999999999,25,YES,NO
1741809297,1741809290,0.097,0.903,0.07,0.9299999999999999,207,NO,YES
1741813525,1741813520,0.096,0.904,0.07,0.9299999999999999,12,NO,YES
1741813647,1741813643,0.097,0.903,0.07,0.9299999999999999,15,NO,YES
1741813647,1741813643,0.095,0.905,0.07,0.9299999999999999,8,NO,YES
1741826468,1741826747,0.097,0.903,0.07,0.9299999999999999,3,NO,YES
1741826752,1741826747,0.097,0.903,0.07,0.9299999999999999,36,NO,YES
1741826752,1741826747,0.096,0.904,0.07,0.9299999999999999,39,NO,YES
1741826752,1741827020,0.096,0.904,0.07,0.9299999999999999,2,NO,YES
1741881275,1741881389,0.144,0.856,0.1,0.9,50,NO,YES
1741881279,1741881389,0.145,0.855,0.1,0.9,50,NO,YES
1741882113,1741882109,0.144,0.856,0.11,0.89,3300,NO,YES
1741882113,1741882109,0.144,0.856,0.11,0.89,500,NO,YES
1741882145,1741882141,0.144,0.856,0.1,0.9,162,NO,YES
1741882145,1741882141,0.144,0.856,0.11,0.89,2038,NO,YES
1741891468,1741891465,0.137,0.863,0.11,0.89,2349,NO,YES
1741891468,1741891465,0.137,0.863,0.1,0.9,9,NO,YES
1741892130,1741892124,0.127,0.873,0.1,0.9,10,NO,YES
1741892166,1741892163,0.127,0.873,0.1,0.9,48,NO,YES
1741892166,1741892163,0.127,0.873,0.1,0.9,99,NO,YES
1741892250,1741892163,0.127,0.873,0.1,0.9,1,NO,YES
1741892250,1741892245,0.127,0.873,0.1,0.9,33,NO,YES
1741892250,1741892245,0.127,0.873,0.1,0.9,24,NO,YES
1741892266,1741892245,0.127,0.873,0.1,0.9,1,NO,YES
1741892266,1741892260,0.127,0.873,0.1,0.9,56,NO,YES
1741892438,1741892260,0.127,0.873,0.1,0.9,2,NO,YES
1741892438,1741892432,0.127,0.873,0.1,0.9,56,NO,YES
1741892452,1741892432,0.127,0.873,0.1,0.9,2,NO,YES
1741892452,1741892448,0.127,0.873,0.1,0.9,56,NO,YES
1741892452,1741892448,0.127,0.873,0.1,0.9,94,NO,YES
1741893006,1741892869,0.127,0.873,0.09,0.91,2,NO,YES
1741893006,1741893002,0.127,0.873,0.1,0.9,37,NO,YES
1741918412,1741918407,0.127,0.873,0.1,0.9,88,NO,YES
1741918774,1741918771,0.127,0.873,0.1,0.9,172,NO,YES
1741919080,1741919076,0.127,0.873,0.11,0.89,27,NO,YES
1741919080,1741919076,0.127,0.873,0.11,0.89,41,NO,YES
1741919080,1741919076,0.127,0.873,0.11,0.89,56,NO,YES
1741919080,1741919076,0.127,0.873,0.11,0.89,48,NO,YES
1741968021,1741968013,0.131,0.869,0.1,0.9,20,NO,YES
1741968021,1741968013,0.131,0.869,0.1,0.9,20,NO,YES
1741968021,1741968013,0.131,0.869,0.1,0.9,20,NO,YES
1741968021,1741968013,0.131,0.869,0.1,0.9,20,NO,YES
1741968021,1741968013,0.13,0.87,0.1,0.9,20,NO,YES
1741968021,1741968013,0.129,0.871,0.1,0.9,37,NO,YES
1741968021,1741968013,0.129,0.871,0.1,0.9,37,NO,YES
1741968021,1741968013,0.129,0.871,0.1,0.9,52,NO,YES
1741968021,1741968013,0.129,0.871,0.1,0.9,24,NO,YES
1741968021,1741968013,0.129,0.871,0.1,0.9,8,NO,YES
1742020692,1742020688,0.127,0.873,0.1,0.9,10,NO,YES
1742079018,1742079012,0.137,0.863,0.1,0.9,6,NO,YES
1742079018,1742079012,0.137,0.863,0.1,0.9,14,NO,YES
1742079018,1742079012,0.136,0.864,0.1,0.9,11,NO,YES
1742082309,1742082305,0.129,0.871,0.1,0.9,10,NO,YES
1742086433,1742086429,0.127,0.873,0.1,0.9,20,NO,YES
1742086461,1742086458,0.128,0.872,0.1,0.9,59,NO,YES
1742086461,1742086458,0.128,0.872,0.1,0.9,99,NO,YES
1742089888,1742089885,0.127,0.873,0.1,0.9,20,NO,YES
1742090787,1742090784,0.127,0.873,0.1,0.9,20,NO,YES
1742235675,1742235787,0.139,0.861,0.1,0.9,7,NO,YES
1742235787,1742235787,0.125,0.875,0.1,0.9,53,NO,YES
1742235787,1742235787,0.12,0.88,0.1,0.9,626,NO,YES
1742235787,1742235787,0.12,0.88,0.1,0.9,43,NO,YES
1742347608,1742347518,0.125,0.875,0.1,0.9,1,NO,YES
1742400222,1742400269,0.103,0.897,0.11,0.89,10,YES,NO
1742400222,1742400362,0.103,0.897,0.11,0.89,4,YES,NO
1742576327,1742576320,0.093,0.907,0.1,0.9,10,YES,NO
1742576327,1742576320,0.093,0.907,0.1,0.9,20,YES,NO
1742576327,1742576320,0.094,0.906,0.1,0.9,50,YES,NO
1742658388,1742658628,0.097,0.903,0.11,0.89,22,YES,NO
1742664638,1742664761,0.09,0.91,0.1,0.9,10,YES,NO
1742664638,1742664761,0.087,0.913,0.1,0.9,10,YES,NO
1742931306,1742931463,0.102,0.898,0.11,0.89,1,YES,NO
1742931306,1742931472,0.102,0.898,0.09,0.91,1,NO,YES
1742931848,1742931835,0.112,0.888,0.11,0.89,4,NO,YES
1743002781,1743002916,0.119,0.881,0.11,0.89,16,NO,YES
1743006611,1743006377,0.118,0.882,0.11,0.89,30,NO,YES
1743119680,1743119740,0.124,0.876,0.1,0.9,10,NO,YES
1743119680,1743119740,0.124,0.876,0.1,0.9,15,NO,YES
1743119680,1743119740,0.124,0.876,0.1,0.9,8,NO,YES
1743119680,1743119740,0.124,0.876,0.1,0.9,25,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,3,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,15,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,13,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,12,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,8,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,8,NO,YES
1743119682,1743119740,0.124,0.876,0.1,0.9,7,NO,YES
1743119684,1743119740,0.124,0.876,0.1,0.9,15,NO,YES
1743140918,1743140898,0.129,0.871,0.1,0.9,111,NO,YES
1743195332,1743195315,0.137,0.863,0.11,0.89,947,NO,YES
1743195332,1743195315,0.137,0.863,0.11,0.89,1389,NO,YES
1743347873,1743347863,0.114,0.886,0.12,0.88,21,YES,NO
