poly_time,kalshi_time,poly_yes,poly_no,kalshi_yes,kalshi_no,arb_size,poly_side,kalshi_side
1728304064,1728304054,0.259,0.741,0.25,0.75,5,NO,YES
1728304064,1728304054,0.259,0.741,0.25,0.75,75,NO,YES
1728304286,1728304377,0.257,0.743,0.24,0.76,6,NO,YES
1728304288,1728304377,0.257,0.743,0.24,0.76,47,NO,YES
1728304288,1728304377,0.257,0.743,0.24,0.76,27,NO,YES
1728304788,1728305052,0.257,0.743,0.26,0.74,3,YES,NO
1728307081,1728307289,0.26,0.74,0.25,0.75,2,NO,YES
1728307081,1728307289,0.259,0.741,0.25,0.75,16,NO,YES
1728307179,1728307289,0.26,0.74,0.25,0.75,7,NO,YES
1728310367,1728310641,0.26,0.74,0.25,0.75,4,NO,YES
1728310607,1728310641,0.26,0.74,0.25,0.75,4,NO,YES
1728310695,1728310641,0.258,0.742,0.25,0.75,11,NO,YES
1728311259,1728311493,0.258,0.742,0.24,0.76,44,NO,YES
1728311259,1728311493,0.258,0.742,0.23,0.77,146,NO,YES
1728311321,1728311493,0.258,0.742,0.23,0.77,190,NO,YES
1728311325,1728311493,0.258,0.742,0.23,0.77,10,NO,YES
1728311369,1728311493,0.258,0.742,0.23,0.77,502,NO,YES
1728311369,1728311493,0.258,0.742,0.23,0.77,108,NO,YES
1728311403,1728311695,0.259,0.741,0.25,0.75,16,NO,YES
1728311403,1728311695,0.259,0.741,0.25,0.75,41,NO,YES
1728314115,1728314403,0.258,0.742,0.25,0.75,40,NO,YES
1728315539,1728315777,0.26,0.74,0.23,0.77,54,NO,YES
1728315539,1728315777,0.26,0.74,0.24,0.76,41,NO,YES
1728316423,1728316487,0.261,0.739,0.23,0.77,5,NO,YES
1728316835,1728317022,0.261,0.739,0.24,0.76,5,NO,YES
1728317095,1728317316,0.261,0.739,0.24,0.76,5,NO,YES
1728320104,1728320248,0.266,0.734,0.25,0.75,5,NO,YES
1728320104,1728320248,0.266,0.734,0.25,0.75,144,NO,YES
1728320430,1728320708,0.275,0.725,0.26,0.74,100,NO,YES
1728321008,1728321156,0.276,0.724,0.26,0.74,100,NO,YES
1728321872,1728322119,0.279,0.721,0.25,0.75,65,NO,YES
1728322324,1728322504,0.279,0.721,0.27,0.73,14,NO,YES
1728322436,1728322504,0.279,0.721,0.27,0.73,36,NO,YES
1728323328,1728323530,0.274,0.726,0.27,0.73,2,NO,YES
1728323428,1728323530,0.274,0.726,0.27,0.73,109,NO,YES
1728324042,1728324150,0.275,0.725,0.26,0.74,6,NO,YES
1728324042,1728324150,0.275,0.725,0.26,0.74,19,NO,YES
1728324042,1728324150,0.275,0.725,0.25,0.75,33,NO,YES
1728324408,1728324150,0.273,0.727,0.25,0.75,42,NO,YES
1728324956,1728325220,0.275,0.725,0.25,0.75,54,NO,YES
1728324974,1728325220,0.272,0.728,0.25,0.75,13,NO,YES
1728324974,1728325220,0.272,0.728,0.25,0.75,40,NO,YES
1728325120,1728325220,0.272,0.728,0.25,0.75,190,NO,YES
1728325120,1728325220,0.272,0.728,0.25,0.75,34,NO,YES
1728325952,1728326245,0.272,0.728,0.27,0.73,1,NO,YES
1728325954,1728326245,0.272,0.728,0.27,0.73,13,NO,YES
1728326086,1728326245,0.272,0.728,0.27,0.73,162,NO,YES
1728328724,1728329023,0.271,0.729,0.25,0.75,190,NO,YES
1728328732,1728329023,0.271,0.729,0.25,0.75,35,NO,YES
1728330050,1728330213,0.282,0.718,0.28,0.72,97,NO,YES
1728330050,1728330213,0.282,0.718,0.27,0.73,44,NO,YES
1728330108,1728330213,0.282,0.718,0.27,0.73,56,NO,YES
1728330386,1728330213,0.281,0.719,0.27,0.73,190,NO,YES
1728330392,1728330213,0.281,0.719,0.27,0.73,10,NO,YES
1728330392,1728330213,0.281,0.719,0.26,0.74,30,NO,YES
1728330392,1728330213,0.281,0.719,0.27,0.73,115,NO,YES
1728330402,1728330213,0.281,0.719,0.27,0.73,85,NO,YES
1728330402,1728330213,0.281,0.719,0.27,0.73,251,NO,YES
1728330402,1728330380,0.281,0.719,0.28,0.72,71,NO,YES
1728332874,1728333146,0.28,0.72,0.26,0.74,30,NO,YES
1728332874,1728333146,0.28,0.72,0.26,0.74,36,NO,YES
1728333008,1728333239,0.28,0.72,0.26,0.74,55,NO,YES
1728333010,1728333239,0.28,0.72,0.26,0.74,9,NO,YES
1728333066,1728333239,0.28,0.72,0.25,0.75,24,NO,YES
1728333258,1728333239,0.28,0.72,0.25,0.75,45,NO,YES
1728333474,1728333689,0.281,0.719,0.28,0.72,3,NO,YES
1728333474,1728333689,0.281,0.719,0.27,0.73,33,NO,YES
1728336014,1728336296,0.278,0.722,0.28,0.72,1,YES,NO
1728336284,1728336331,0.277,0.723,0.28,0.72,3,YES,NO
1728337900,1728338146,0.274,0.726,0.28,0.72,161,YES,NO
1728338024,1728338146,0.276,0.724,0.28,0.72,40,YES,NO
1728338024,1728338146,0.276,0.724,0.28,0.72,141,YES,NO
1728338328,1728338146,0.275,0.725,0.28,0.72,35,YES,NO
1728338412,1728338146,0.275,0.725,0.28,0.72,65,YES,NO
1728338412,1728338146,0.274,0.726,0.28,0.72,200,YES,NO
1728338434,1728338146,0.275,0.725,0.28,0.72,65,YES,NO
1728338434,1728338146,0.275,0.725,0.28,0.72,250,YES,NO
1728338434,1728338146,0.275,0.725,0.28,0.72,185,YES,NO
1728339772,1728339939,0.273,0.727,0.28,0.72,35,YES,NO
1728340686,1728340949,0.256,0.744,0.28,0.72,100,YES,NO
1728340686,1728340949,0.256,0.744,0.28,0.72,75,YES,NO
1728340686,1728340949,0.256,0.744,0.28,0.72,74,YES,NO
1728341212,1728340949,0.259,0.741,0.28,0.72,38,YES,NO
1728342112,1728342329,0.257,0.743,0.26,0.74,33,YES,NO
1728342112,1728342329,0.257,0.743,0.26,0.74,600,YES,NO
1728342520,1728342521,0.259,0.741,0.27,0.73,3,YES,NO
1728342750,1728342947,0.256,0.744,0.27,0.73,1,YES,NO
1728344248,1728344247,0.255,0.745,0.27,0.73,120,YES,NO
1728344260,1728344247,0.255,0.745,0.27,0.73,65,YES,NO
1728346386,1728346414,0.254,0.746,0.25,0.75,155,NO,YES
1728349058,1728349213,0.253,0.747,0.26,0.74,38,YES,NO
1728350168,1728350429,0.252,0.748,0.26,0.74,19,YES,NO
